"financial_summary_sales_id","actual_units","actual_amount","forcast_unit","forcast_amount","location_id","sales_class_id","report_begin_date_id","report_end_date_id"
2014120112,5695716,8905778.44,5340872,8350948.00,12,1,20141201,20141231
2014120201,6113446,9551616.09,6661822,10408396.00,1,2,20141201,20141231
2014120202,6305461,9774233.50,6207095,9621755.00,2,2,20141201,20141231
2014120203,11098823,17013058.95,10857978,16643876.00,3,2,20141201,20141231
2014120204,5745211,8997036.30,5625136,8808998.00,4,2,20141201,20141231
2014120205,9356659,14457315.35,10358757,16005694.00,5,2,20141201,20141231
2014120206,9043509,14304848.93,9873703,15618034.00,6,2,20141201,20141231
2014120207,13385665,20441695.13,12749845,19470715.00,7,2,20141201,20141231
2014120208,11880651,18497882.55,12550719,19541163.00,8,2,20141201,20141231
2014120209,7193235,11338008.49,5860328,9237076.00,9,2,20141201,20141231
2014120210,8363961,12901461.72,9082425,14009697.00,10,2,20141201,20141231
2014120211,9158276,14370164.27,8877116,13929000.00,11,2,20141201,20141231
2014120212,8423379,13012069.08,8388000,12957418.00,12,2,20141201,20141231
2014120301,7014836,5512150.52,6313352,4960935.00,1,3,20141201,20141231
2014120302,7928688,6236434.44,8595490,6760919.00,2,3,20141201,20141231
2014120303,7194095,5642505.96,6629358,5199569.00,3,3,20141201,20141231
2014120304,4907168,3870579.48,4911093,3873676.00,4,3,20141201,20141231
2014120305,11848053,9132730.45,9843362,7587472.00,5,3,20141201,20141231
2014120306,5300103,4177228.87,4897825,3860177.00,6,3,20141201,20141231
2014120307,5826970,4605075.20,5622443,4443437.00,7,3,20141201,20141231
2014120308,9639508,7342011.77,9985566,7605590.00,8,3,20141201,20141231
2014120309,5899294,4528090.36,5376026,4126449.00,9,3,20141201,20141231
2014120310,7737823,5894968.83,8402501,6401347.00,10,3,20141201,20141231
2014120311,8995707,6921951.01,9231394,7103306.00,11,3,20141201,20141231
2014120312,9178348,7088490.74,9766680,7542863.00,12,3,20141201,20141231
2014120401,8582422,6716176.42,8853626,6928408.00,1,4,20141201,20141231
2014120402,7588391,5792567.45,7080727,5405045.00,2,4,20141201,20141231
2014120403,10230837,7793758.77,11027819,8400893.00,3,4,20141201,20141231
2014120404,8165035,6285473.65,8195245,6308730.00,4,4,20141201,20141231
2014120405,8705659,6756778.76,8740481,6783806.00,5,4,20141201,20141231
2014120406,14148967,10843778.49,13205230,10120498.00,6,4,20141201,20141231
2014120407,7021895,5425474.40,7451634,5757513.00,7,4,20141201,20141231
2014120408,10227298,7784094.95,9669910,7359862.00,8,4,20141201,20141231
2014120409,9963898,7631030.35,9292331,7116699.00,9,4,20141201,20141231
2014120410,9864784,7667320.53,9886486,7684189.00,10,4,20141201,20141231
2014120411,8032074,6086953.52,6102769,4624867.00,11,4,20141201,20141231
2014120412,9634132,7672604.50,9697717,7723244.00,12,4,20141201,20141231
2014120501,11287187,8716034.94,11371840,8781405.00,1,5,20141201,20141231
2014120502,7523949,5908282.29,7068750,5550831.00,2,5,20141201,20141231
2014120503,6811004,5220318.40,7035767,5392589.00,3,5,20141201,20141231
2014040504,4240352,3190757.95,8222864,6297672.00,4,5,20140401,20140430
2014120504,7855239,6016117.69,8222864,6297672.00,4,5,20141201,20141231
2014010505,0,0.00,11296816,8619493.00,5,5,20140101,20140131
2014120505,10924298,8335260.24,11296816,8619493.00,5,5,20141201,20141231
2014060506,2831598,2185875.84,8331199,6485767.00,6,5,20140602,20140630
2014120506,8341209,6493559.58,8331199,6485767.00,6,5,20141201,20141231
2014030507,1536212,1240173.86,13538931,10478802.00,7,5,20140303,20140331
2014120507,13835000,10707952.50,13538931,10478802.00,7,5,20141201,20141231
2014020508,563416,473094.37,9315845,7205218.00,8,5,20140203,20140228
2014120508,8062875,6236124.05,9315845,7205218.00,8,5,20141201,20141231
2014070509,5464085,4200441.97,10932603,8436583.00,9,5,20140701,20140731
2014120509,8932595,6893196.51,10932603,8436583.00,9,5,20141201,20141231
2014080510,8564587,6599834.41,10977162,8477101.00,10,5,20140801,20140829
2014010510,801298,605060.12,10977162,8477101.00,10,5,20140101,20140131
2014120510,10884643,8405652.62,10977162,8477101.00,10,5,20141201,20141231
2014120511,7646241,5951888.89,7977323,6209606.00,11,5,20141201,20141231
2014070512,4548665,3508855.89,7704288,5956756.00,12,5,20140701,20140731
2014050512,3282110,2527637.14,7704288,5956756.00,12,5,20140501,20140530
2014030512,1825270,1405216.39,7704288,5956756.00,12,5,20140303,20140331
2014120512,8540393,6603210.58,7704288,5956756.00,12,5,20141201,20141231
2014090601,5516123,4298584.82,7286301,5713324.00,1,6,20140901,20140930
2014010601,1641148,1331463.37,7286301,5713324.00,1,6,20140101,20140131
2014120601,6651727,5215742.39,7286301,5713324.00,1,6,20141201,20141231
2014060602,1357590,1100247.85,11762256,9124074.00,2,6,20140602,20140630
2014040602,776342,641294.43,11762256,9124074.00,2,6,20140401,20140430
2014120602,10837793,8406960.36,11762256,9124074.00,2,6,20141201,20141231
2014020603,820606,652545.89,8266523,6341143.00,3,6,20140203,20140228
2014120603,7541072,5784659.23,8266523,6341143.00,3,6,20141201,20141231
2014090604,3200473,2486407.10,6719492,5293484.00,4,6,20140901,20140930
2014120604,6785995,5345873.14,6719492,5293484.00,4,6,20141201,20141231
2014060605,3992346,3091416.27,6352452,4931730.00,5,6,20140602,20140630
2014040605,3746439,2888911.86,6352452,4931730.00,5,6,20140401,20140430
2014120605,6783185,5266129.55,6352452,4931730.00,5,6,20141201,20141231
2014080606,7914402,6137704.64,11916411,9190790.00,6,6,20140801,20140829
2014030606,2369007,1890108.94,11916411,9190790.00,6,6,20140303,20140331
2014120606,11402173,8794172.78,11916411,9190790.00,6,6,20141201,20141231
2014010607,225184,183682.59,5757469,4487808.00,7,6,20140101,20140131
2014120607,6186171,4821970.38,5757469,4487808.00,7,6,20141201,20141231
2014070608,5346300,4228281.38,10719779,8371982.00,8,6,20140701,20140731
2014050608,2606080,2111209.04,10719779,8371982.00,8,6,20140501,20140530
2014120608,10036307,7838200.29,10719779,8371982.00,8,6,20141201,20141231
2014080609,10051027,7810760.78,14476359,11185376.00,9,6,20140801,20140829
2014030609,2994973,2313656.79,14476359,11185376.00,9,6,20140303,20140331
2014120609,13896860,10737617.42,14476359,11185376.00,9,6,20141201,20141231
2014120610,15113915,11772778.55,13996996,10902770.00,10,6,20141201,20141231
2014070611,3483446,2771355.09,7151717,5674806.00,11,6,20140701,20140731
2014050611,2939753,2325649.55,7151717,5674806.00,11,6,20140501,20140530
2014020611,1410844,1122612.91,7151717,5674806.00,11,6,20140203,20140228
